,sid,harmonicity,harmonicity_trigs,pid,trig,filename
0,1,harm,0,60,1,harm_1.wav
1,16,harm,0,60,16,harm_16.wav
2,13,inh,100,60,113,inh_13.wav
3,5,inh,100,60,105,inh_5.wav
4,29,inh,100,60,129,inh_29.wav
5,15,harm,0,60,15,harm_15.wav
6,7,harm,0,60,7,harm_7.wav
7,14,inh,100,60,114,inh_14.wav
8,19,inh,100,60,119,inh_19.wav
9,28,harm,0,60,28,harm_28.wav
10,12,inh,100,60,112,inh_12.wav
11,24,harm,0,60,24,harm_24.wav
12,18,harm,0,60,18,harm_18.wav
13,6,inh,100,60,106,inh_6.wav
14,9,inh,100,60,109,inh_9.wav
15,27,harm,0,60,27,harm_27.wav
16,26,inh,100,60,126,inh_26.wav
17,3,inh,100,60,103,inh_3.wav
18,30,inh,100,60,130,inh_30.wav
19,2,inh,100,60,102,inh_2.wav
20,23,inh,100,60,123,inh_23.wav
21,22,harm,0,60,22,harm_22.wav
22,8,harm,0,60,8,harm_8.wav
23,17,harm,0,60,17,harm_17.wav
24,10,harm,0,60,10,harm_10.wav
25,4,inh,100,60,104,inh_4.wav
26,11,harm,0,60,11,harm_11.wav
27,20,harm,0,60,20,harm_20.wav
28,21,inh,100,60,121,inh_21.wav
29,25,harm,0,60,25,harm_25.wav
