,Unnamed: 0,sid,harmonicity,harmonicity_trigs,pid,trig,filename
0,0,10,inh,100,68,110,inh_10.wav
1,1,23,harm,0,68,23,harm_23.wav
2,2,21,harm,0,68,21,harm_21.wav
3,3,28,harm,0,68,28,harm_28.wav
4,4,7,inh,100,68,107,inh_7.wav
5,5,27,harm,0,68,27,harm_27.wav
6,6,17,harm,0,68,17,harm_17.wav
7,7,2,inh,100,68,102,inh_2.wav
8,8,26,harm,0,68,26,harm_26.wav
9,9,1,harm,0,68,1,harm_1.wav
10,10,24,inh,100,68,124,inh_24.wav
11,11,9,inh,100,68,109,inh_9.wav
12,12,6,harm,0,68,6,harm_6.wav
13,13,8,harm,0,68,8,harm_8.wav
14,14,14,harm,0,68,14,harm_14.wav
15,15,13,inh,100,68,113,inh_13.wav
16,16,20,inh,100,68,120,inh_20.wav
17,17,29,inh,100,68,129,inh_29.wav
18,18,19,harm,0,68,19,harm_19.wav
19,19,12,inh,100,68,112,inh_12.wav
20,20,15,inh,100,68,115,inh_15.wav
21,21,30,harm,0,68,30,harm_30.wav
22,22,3,inh,100,68,103,inh_3.wav
23,23,25,harm,0,68,25,harm_25.wav
24,24,11,harm,0,68,11,harm_11.wav
25,25,4,inh,100,68,104,inh_4.wav
26,26,18,harm,0,68,18,harm_18.wav
27,27,5,inh,100,68,105,inh_5.wav
28,28,16,inh,100,68,116,inh_16.wav
29,29,22,inh,100,68,122,inh_22.wav
